Jump #,Date,Drop Zone,Aircraft,Jump Type,Notes

1,1989-08-05,Turners Falls,Cessna 182,Static Line,"FJC (First Jump) - Good exit, arch, canopy - go to DRCP"
2,1989-08-06,Turners Falls,Cessna 206,Static Line,DRCP - Nice job! Cleared a malfunction!! (line over)
3,1989-08-19,Turners Falls,Cessna 206,Static Line,"DRCP - Good jump, nice loud count, good job."
4,1989-08-19,Turners Falls,Cessna 182,Static Line,"DRCP - Good exit, good arch, good DRC."
5,1989-08-26,Turners Falls,Cessna 206,Static Line,DRCP - EXCELLENT!! Go to free fall.
6,1989-08-26,Turners Falls,Cessna 206,Hop and Pop,FFF - Good jump - solid and stable. Go to 5!!!!
7,1989-08-27,Turners Falls,Cessna 206,Hop and Pop,"5 sec delay - Nice arch, work on exit. OK for 10 sec."
8,1989-09-09,Turners Falls,Cessna 206,Hop and Pop,"10 sec delay - Weak arch on exit, corrected, nice solid freefall - good one!"
9,1989-09-10,Turners Falls,Cessna 206,Hop and Pop,10 sec delay (Relaxed Arch) - Excellent!! Nice relaxed arch. Work on leg position. Slight left turn. 15's next.
10,1989-09-24,Turners Falls,Cessna 206,RW,"Relaxed Arch 180 turn RT - Good Job! 180 to 270 > turn RT. Stopped turn. 3500' good look, reach, & pull. Do 360 turn next & spot."
11,1989-09-30,Turners Falls,Cessna 206,RW,"360 L, track, wave off - So-so exit, good 360 L (270). Nice track, good wave-off - BUT - pulled at ~2300'. ALTITUDE AWARENESS!! OK 30's."
12,1989-10-01,Turners Falls,Cessna 206,RW,"Diving exit, back loop, delta, spotting - Good spotting. Good back loop + altitude awareness! Potatoe chipped a little on delta. Good wave off and pull. Do another 30 sec unless otherwise instructed."
13,1989-10-07,Turners Falls,Cessna 206,RW,"360 L, 360 R (30 sec) - Good stable bomb out, nice 360 L, 360 R. Pinned right after. Work on body position and legs a bit. Good alt. aware. On to 45's."
14,1989-10-08,Turners Falls,Cessna 206,RW,"Pin 360 L Pin 360 R - Good stable bomb out, kept right on heading until pin. Dropped left leg, spinning formation. Broke. 360 L no redock. Wave off, pull. Didn't 180 & track! Spot next. Make sure 180 & track."
15,1989-10-08,Turners Falls,Cessna 206,RW,"RW 2 - Bomb out - pin by JM, left 360, re-dock 180 left turn on track (keep legs & arms out more) - next dive front loop / barrel roll & OFF STATUS."
16,1989-10-14,Turners Falls,Cessna 206,RW,"45 sec delay - Stable bomb out base pin turned 375 broke and redock. Broke, attempted barrel roll. Front loop. Turn 180, track, slow wave-off pull 2600'. ** Joe has met all USPA min. std. perf...and can J/M himself **"
17,1989-10-14,Turners Falls,Cessna 206,RW,Attempted 3-way w/DaveAtherton/DaveWilliams
18,1989-10-28,Turners Falls,Cessna 205,RW,Solo - first throwout & small 7-cell
19,1989-10-29,Turners Falls,Cessna 205,RW,Solo
20,1989-10-29,Turners Falls,Cessna 205,RW,Attempted 5-way w/Tooth
21,1989-11-04,Turners Falls,Cessna 205,RW,2-way w/Tania
22,1989-11-19,Turners Falls,Cessna 206,RW,Solo - Followed (5 sec) Hiroto and Bob. Could not find throw-out! Pulled reserve - stood up. (Practice throw-out on new rig next time!)
23,1989-12-02,Turners Falls,Cessna 205,Hop and Pop,5 second delay
24,1990-01-06,Pepperell,Cessna 182,Hop and Pop,Try new gear!
25,1990-01-06,Pepperell,Cessna 182,Hop and Pop,Try canopy
26,1990-01-06,Pepperell,Cessna 182,RW,Attempted 2-way w/Hiroto
27,1990-01-07,Pepperell,Cessna 182,Hop and Pop,Play with canopy
28,1990-01-07,Pepperell,Cessna 182,RW,2-way w/John
29,1990-01-07,Pepperell,Cessna 182,RW,2-way w/Dennis
30,1990-01-20,Turners Falls,Cessna 206,RW,Attempted 3-way w/BobClancy/KennyMangus
31,1990-01-20,Turners Falls,Cessna 206,RW,Attempted 2-way w/HirotoShibuya
32,1990-01-27,Coolidge,Beech,RW,Solo
33,1990-01-27,Coolidge,DC-3,RW,2-way + no-contact CRW w/BryanBurke
34,1990-01-27,Coolidge,DC-3,RW,2-way + no-contact CRW w/BryanBurke
35,1990-01-27,Coolidge,DC-3,RW,2-way w/Hiroto
36,1990-01-28,Coolidge,Beech,RW,Attempted 2-way w/Hiroto
37,1990-01-28,Coolidge,Beech,RW,2-way w/Hiroto
38,1990-01-28,Coolidge,DC-3,RW,4-way w/Hiroto/Joe/Yasmin
39,1990-01-28,Coolidge,DC-3,RW,Attempted 4-way w/Hiroto/Joe/Yasmin
40,1990-01-28,Coolidge,DC-3,RW,Attempted 3-way w/Hiroto/Jim
41,1990-01-29,Coolidge,DC-3,RW,2-way w/Hiroto
